Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.948	0.052	0.0
2	0.912	0.088	0.0
3	0.902	0.098	0.0
4	0.87	0.13	0.0
5	0.844	0.156	0.0
6	0.82	0.18	0.0
7	0.816	0.184	0.0
8	0.792	0.208	0.0
9	0.766	0.234	0.0
10	0.768	0.232	0.0
11	0.734	0.266	0.0
12	0.72	0.28	0.0
13	0.71	0.29	0.0
14	0.718	0.282	0.0
15	0.702	0.298	0.0
16	0.702	0.298	0.0
17	0.694	0.306	0.0
18	0.686	0.314	0.0
19	0.68	0.32	0.0
20	0.676	0.324	0.0
21	0.666	0.334	0.0
22	0.66	0.34	0.0
23	0.668	0.332	0.0
24	0.664	0.336	0.0
25	0.666	0.334	0.0
26	0.662	0.338	0.0
27	0.654	0.346	0.0
28	0.652	0.348	0.0
29	0.65	0.35	0.0
30	0.648	0.352	0.0
31	0.67	0.33	0.0
32	0.664	0.336	0.0
33	0.676	0.324	0.0
34	0.686	0.314	0.0
35	0.682	0.318	0.0
36	0.684	0.316	0.0
37	0.7	0.3	0.0
38	0.702	0.298	0.0
39	0.7	0.3	0.0
40	0.698	0.302	0.0
41	0.706	0.294	0.0
42	0.712	0.288	0.0
43	0.702	0.298	0.0
44	0.702	0.298	0.0
45	0.716	0.284	0.0
46	0.712	0.288	0.0
47	0.72	0.28	0.0
48	0.716	0.284	0.0
49	0.73	0.27	0.0
50	0.714	0.286	0.0
51	0.734	0.266	0.0
52	0.728	0.272	0.0
53	0.752	0.248	0.0
54	0.73	0.27	0.0
55	0.722	0.278	0.0
56	0.734	0.266	0.0
57	0.744	0.256	0.0
58	0.738	0.262	0.0
59	0.754	0.246	0.0
60	0.748	0.252	0.0
61	0.744	0.256	0.0
62	0.746	0.254	0.0
63	0.766	0.234	0.0
64	0.76	0.24	0.0
65	0.784	0.216	0.0
66	0.792	0.208	0.0
67	0.776	0.224	0.0
68	0.786	0.214	0.0
69	0.79	0.21	0.0
70	0.778	0.222	0.0
71	0.778	0.222	0.0
72	0.78	0.22	0.0
73	0.792	0.208	0.0
74	0.81	0.19	0.0
75	0.8	0.2	0.0
76	0.794	0.206	0.0
77	0.806	0.194	0.0
78	0.804	0.196	0.0
79	0.804	0.196	0.0
80	0.812	0.188	0.0
81	0.814	0.186	0.0
82	0.82	0.18	0.0
83	0.802	0.198	0.0
84	0.818	0.182	0.0
85	0.808	0.192	0.0
86	0.816	0.184	0.0
87	0.814	0.186	0.0
88	0.78	0.22	0.0
89	0.79	0.21	0.0
90	0.8	0.2	0.0
91	0.806	0.194	0.0
92	0.796	0.204	0.0
93	0.8	0.2	0.0
94	0.786	0.214	0.0
95	0.802	0.198	0.0
96	0.82	0.18	0.0
97	0.81	0.19	0.0
98	0.808	0.192	0.0
99	0.82	0.18	0.0
100	0.81	0.19	0.0
