Iteration	car	pt	walk
0	1.0	0.0	0.0
1	0.948	0.052	0.0
2	0.91	0.09	0.0
3	0.892	0.108	0.0
4	0.864	0.136	0.0
5	0.832	0.168	0.0
6	0.802	0.198	0.0
7	0.798	0.202	0.0
8	0.77	0.23	0.0
9	0.74	0.26	0.0
10	0.74	0.26	0.0
11	0.704	0.296	0.0
12	0.69	0.31	0.0
13	0.682	0.318	0.0
14	0.68	0.32	0.0
15	0.666	0.334	0.0
16	0.662	0.338	0.0
17	0.66	0.34	0.0
18	0.642	0.358	0.0
19	0.63	0.37	0.0
20	0.626	0.374	0.0
21	0.616	0.384	0.0
22	0.612	0.388	0.0
23	0.608	0.392	0.0
24	0.608	0.392	0.0
25	0.614	0.386	0.0
26	0.612	0.388	0.0
27	0.6	0.4	0.0
28	0.602	0.398	0.0
29	0.6	0.4	0.0
30	0.608	0.392	0.0
31	0.63	0.37	0.0
32	0.624	0.376	0.0
33	0.622	0.378	0.0
34	0.636	0.364	0.0
35	0.632	0.368	0.0
36	0.62	0.38	0.0
37	0.652	0.348	0.0
38	0.644	0.356	0.0
39	0.656	0.344	0.0
40	0.65	0.35	0.0
41	0.658	0.342	0.0
42	0.664	0.336	0.0
43	0.64	0.36	0.0
44	0.642	0.358	0.0
45	0.658	0.342	0.0
46	0.668	0.332	0.0
47	0.692	0.308	0.0
48	0.684	0.316	0.0
49	0.71	0.29	0.0
50	0.692	0.308	0.0
51	0.698	0.302	0.0
52	0.702	0.298	0.0
53	0.732	0.268	0.0
54	0.714	0.286	0.0
55	0.706	0.294	0.0
56	0.728	0.272	0.0
57	0.732	0.268	0.0
58	0.73	0.27	0.0
59	0.74	0.26	0.0
60	0.728	0.272	0.0
61	0.718	0.282	0.0
62	0.722	0.278	0.0
63	0.74	0.26	0.0
64	0.724	0.276	0.0
65	0.732	0.268	0.0
66	0.748	0.252	0.0
67	0.75	0.25	0.0
68	0.738	0.262	0.0
69	0.754	0.246	0.0
70	0.776	0.224	0.0
71	0.766	0.234	0.0
72	0.758	0.242	0.0
73	0.768	0.232	0.0
74	0.784	0.216	0.0
75	0.784	0.216	0.0
76	0.782	0.218	0.0
77	0.774	0.226	0.0
78	0.79	0.21	0.0
79	0.79	0.21	0.0
80	0.792	0.208	0.0
81	0.788	0.212	0.0
82	0.776	0.224	0.0
83	0.768	0.232	0.0
84	0.78	0.22	0.0
85	0.782	0.218	0.0
86	0.79	0.21	0.0
87	0.804	0.196	0.0
88	0.786	0.214	0.0
89	0.786	0.214	0.0
90	0.802	0.198	0.0
91	0.806	0.194	0.0
92	0.796	0.204	0.0
93	0.802	0.198	0.0
94	0.772	0.228	0.0
95	0.782	0.218	0.0
96	0.798	0.202	0.0
97	0.79	0.21	0.0
98	0.812	0.188	0.0
99	0.81	0.19	0.0
100	0.804	0.196	0.0
